2,,invalshoeken,niveau van ontsluiting,objectnummer,beelden ontsluiten voor publiek?,inhoudelijke registratie koepel en deelnummers,waardering,,foto-overleg,beelden klaar,staat te ontsluiten beeld op de R-schijf in groot formaat?,naam beeld(en),vervaardiger,toestemming auteursrecht,Attributie,publicatie op cogent (via europeana),publicatie op erfgoedinzicht,opmerkingen,collectiepresentatie?
,,,enkelvoudig object,,publiek,ok,GROEN,,ok,ok,ok,,#REF!,#REF!,#REF!,,,,
,,,set,,,mee bezig,ORANJE,,draaien/photoshoppen,x (opgenomen in flow fotografie),"ja, maar klein formaat",,,,,,,,
,,,ensemble,,niet-publiek,niet klaar,ROOD (collectieprofiel/museumwaardig),,foto nemen,y (niet op te lossen probleem),nee,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1987-0011,niet-publiek,ok,,,,ok,ok,1987-0011$1,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1987-0014,niet-publiek,ok,,,,ok,ok,1987-0014$2.tif,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1987-0016,niet-publiek,ok,,,,ok,ok,1987-0016,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1989-0076,niet-publiek,ok,,,,ok,ok,1989-0076,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0052,niet-publiek,ok,,,,ok,ok,1990-0052$1,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0053,niet-publiek,ok,,,,ok,ok,1990-0053,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0054,niet-publiek,ok,,,,ok,ok,1990-0054$1,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0055,niet-publiek,ok,,,,ok,ok,1990-0055,,,,nvt,nvt,Enkel voor collectiesite DMG,
Ianthe,,Italiaans postmodernisme,enkelvoudig object,1990-0059,niet-publiek,ok,,,,ok,ok,1990-0059.tif,,,,nvt,nvt,Enkel voor collectiesite DMG,
